n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,PTC_max,KAKTUS_max
9,7,420,1434,slike_min/graf_min_mu7_n9.png,slike_max/graf_max_mu7_n9.png,HCOcaR~,HCRbdO{,false,false,false,false
6,8,508,535,slike_min/graf_min_mu8_n6.png,slike_max/graf_max_mu8_n6.png,EV~w,E]~w,false,false,false,false
7,8,623,939,slike_min/graf_min_mu8_n7.png,slike_max/graf_max_mu8_n7.png,F?z~w,FFzvO,false,false,false,false
8,8,653,1478,slike_min/graf_min_mu8_n8.png,slike_max/graf_max_mu8_n8.png,G?`F~{,G?zvf_,false,false,false,false
9,8,634,2135,slike_min/graf_min_mu8_n9.png,slike_max/graf_max_mu8_n9.png,H??CF~~,H?o~Fbo,false,false,false,false
10,1,72,100,slike_min/graf_min_mu1_n10.png,slike_max/graf_max_mu1_n10.png,I???CB~O?,IGd@_?D_O,true,true,true,true
11,1,85,121,slike_min/graf_min_mu1_n11.png,slike_max/graf_max_mu1_n11.png,J???CB~O@??,J`CCOGCGQ@?,true,true,true,true
12,1,99,144,slike_min/graf_min_mu1_n12.png,slike_max/graf_max_mu1_n12.png,K???CB~O@?A?,K_?Od@AG?W@A,true,true,true,true
13,1,114,169,slike_min/graf_min_mu1_n13.png,slike_max/graf_max_mu1_n13.png,L???CB~O@?A?A?,LOG?OG@cA@GOD?,true,true,true,true
14,1,130,196,slike_min/graf_min_mu1_n14.png,slike_max/graf_max_mu1_n14.png,M???CB~O@?A?A?@??,MD_???B@aAK?@?A?_,true,true,true,true
15,1,147,225,slike_min/graf_min_mu1_n15.png,slike_max/graf_max_mu1_n15.png,N???CB~O@?A?A?@??O?,N?H??c?g?O?cO_c??D?,true,true,true,true
16,1,165,255,slike_min/graf_min_mu1_n16.png,slike_max/graf_max_mu1_n16.png,O???CB~O@?A?A?@??O??_,O?H??c?g?O?cO_c??DC??,true,true,true,true
17,1,184,289,slike_min/graf_min_mu1_n17.png,slike_max/graf_max_mu1_n17.png,P???CB~O@?A?A?@??O??_?A?,PKAG?O?CA?CC?A?C?K?CA?__,true,true,true,true
18,1,204,323,slike_min/graf_min_mu1_n18.png,slike_max/graf_max_mu1_n18.png,Q???CB~O@?A?A?@??O??_?A??C?,QKAG?O?CA?CC?A?C?K?CA?_a???,true,true,true,true
19,1,225,359,slike_min/graf_min_mu1_n19.png,slike_max/graf_max_mu1_n19.png,R???CB~O@?A?A?@??O??_?A??C??C?,Ro?G@?O?@????A?`H??_?@c??AO@G?,true,true,true,true
20,1,247,398,slike_min/graf_min_mu1_n20.png,slike_max/graf_max_mu1_n20.png,S???CB~O@?A?A?@??O??_?A??C??C??A?,SA???D?????G_?A?a?`?O?cA?GAW?@?_?,true,true,true,true
21,1,270,437,slike_min/graf_min_mu1_n21.png,slike_max/graf_max_mu1_n21.png,T???CB~O@?A?A?@??O??_?A??C??C??A???_,TA???D?????G_?A?a?`?O?cA?GAW?@?_@???,true,true,true,true
22,1,294,480,slike_min/graf_min_mu1_n22.png,slike_max/graf_max_mu1_n22.png,U???CB~O@?A?A?@??O??_?A??C??C??A???_??C?,UCC?A??_?D?O??@?A?OK?????_???G?CS`@?OC??,true,true,true,true
23,1,319,525,slike_min/graf_min_mu1_n23.png,slike_max/graf_max_mu1_n23.png,V???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O?,V???I?gA?_?I_??A?GG????a??@???@??C?A?_A??Og?,true,true,true,true
24,1,345,571,slike_min/graf_min_mu1_n24.png,slike_max/graf_max_mu1_n24.png,W???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_,W??g??G_??A@?a??@???aO???G@?_A??@?C??_O?A?O?GC?,true,true,true,true
25,1,372,623,slike_min/graf_min_mu1_n25.png,slike_max/graf_max_mu1_n25.png,X???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_,X?K?AGG_???O@A??O@??G??@????_O??_??A??P?_A??O?CG??O,true,true,true,true
26,1,400,672,slike_min/graf_min_mu1_n26.png,slike_max/graf_max_mu1_n26.png,Y???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O?,Y?K?AGG_???O@A??O@??G??@????_O??_??A??P?_A??O?CG??OA????,true,true,true,true
27,1,429,724,slike_min/graf_min_mu1_n27.png,slike_max/graf_max_mu1_n27.png,Z???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C?,Z??@GG??@?A????@OGQ?_??P????OOA????CE????_?@??C???@C???OC?@?,true,true,true,true
28,1,459,777,slike_min/graf_min_mu1_n28.png,slike_max/graf_max_mu1_n28.png,[???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_,[??@GG??@?A????@OGQ?_??P????OOA????CE????_?@??C???@C???OC?@?_???,true,true,true,true
29,1,490,833,slike_min/graf_min_mu1_n29.png,slike_max/graf_max_mu1_n29.png,\???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A?,\?_???_G?GG?DO?_?A??GQ??A???@??_??CC?G???@?????????C??D??G@??O??AA??_,true,true,true,true
30,1,522,891,slike_min/graf_min_mu1_n30.png,slike_max/graf_max_mu1_n30.png,]???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C?,]C????_G?GG?DO?_?A??GQ??A???@??_??CC?G???@?????????C??D??G@??O??AA??_G????,true,true,true,true
10,2,93,166,slike_min/graf_min_mu2_n10.png,slike_max/graf_max_mu2_n10.png,I??CAB~G?,IQ?I?Kw_O,true,true,false,false
11,2,108,203,slike_min/graf_min_mu2_n11.png,slike_max/graf_max_mu2_n11.png,J??CAB~G?_?,J_G@aaC@cO?,true,true,false,false
12,2,124,243,slike_min/graf_min_mu2_n12.png,slike_max/graf_max_mu2_n12.png,K??CAB~G?_@?,KAiAG?@OH_@G,true,true,false,false
13,2,141,287,slike_min/graf_min_mu2_n13.png,slike_max/graf_max_mu2_n13.png,L??CAB~G?_@?@?,LG?W?ROGCC?I?o,true,true,false,false
14,2,159,335,slike_min/graf_min_mu2_n14.png,slike_max/graf_max_mu2_n14.png,M??CAB~G?_@?@??C?,M?AGt@??X?I?C??A_,true,true,false,false
15,2,178,386,slike_min/graf_min_mu2_n15.png,slike_max/graf_max_mu2_n15.png,N??CAB~G?_@?@??C?@?,N?O_C?a@?aG@CC__D??,true,true,false,false
16,2,198,441,slike_min/graf_min_mu2_n16.png,slike_max/graf_max_mu2_n16.png,O??CAB~G?_@?@??C?@??G,OQ_?qG_??@???HCC?`??g,true,true,false,false
17,2,219,498,slike_min/graf_min_mu2_n17.png,slike_max/graf_max_mu2_n17.png,P??CAB~G?_@?@??C?@??G??_,P?@B?OG@?oC?c??P??_@___?,true,true,false,false
18,2,241,560,slike_min/graf_min_mu2_n18.png,slike_max/graf_max_mu2_n18.png,Q??CAB~G?_@?@??C?@??G??_?@?,QI???QG@??A@???PO?P?c@_?A@?,true,true,false,false
19,2,264,628,slike_min/graf_min_mu2_n19.png,slike_max/graf_max_mu2_n19.png,R??CAB~G?_@?@??C?@??G??_?@??@?,R?d@?G??A@?AG??G?O?_K?AI?@?A_?,true,true,false,false
20,2,288,695,slike_min/graf_min_mu2_n20.png,slike_max/graf_max_mu2_n20.png,S??CAB~G?_@?@??C?@??G??_?@??@???_,S?AGAc??H????DG??CI?OAG?AC?_??G?C,true,true,false,false
21,2,313,765,slike_min/graf_min_mu2_n21.png,slike_max/graf_max_mu2_n21.png,T??CAB~G?_@?@??C?@??G??_?@??@???_??G,T?@O__?I?@C??C?gO?AO???I??O@?S????K?,true,true,false,false
22,2,339,844,slike_min/graf_min_mu2_n22.png,slike_max/graf_max_mu2_n22.png,U??CAB~G?_@?@??C?@??G??_?@??@???_??G??@?,U??OC??G_SA?A??G?G@?A??g?_?OGAG?GC??o???,true,true,false,false
23,2,366,924,slike_min/graf_min_mu2_n23.png,slike_max/graf_max_mu2_n23.png,V??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C?,V??_C??O?A?AAGCgA@C???@C_?AO????G??AG??G?@A?,true,true,false,false
24,2,394,1013,slike_min/graf_min_mu2_n24.png,slike_max/graf_max_mu2_n24.png,W??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G,W?GG?@???A?P?Cc??OC?G????OG?@?G????IS???A?ACCO?,true,true,false,false
25,2,423,1093,slike_min/graf_min_mu2_n25.png,slike_max/graf_max_mu2_n25.png,X??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G,X?GA?OCCO??@???@?oC??A?_??W???G????@?_OA??cC??CCA??,true,true,false,false
26,2,453,1188,slike_min/graf_min_mu2_n26.png,slike_max/graf_max_mu2_n26.png,Y??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y??@a?G??OO??CCC?S??G???CA?G?O??_??@@???AO?C??C?@A?O??_?,true,true,false,false
27,2,484,1282,slike_min/graf_min_mu2_n27.png,slike_max/graf_max_mu2_n27.png,Z??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,Z_?A???@?Q?S@O???C?_@G???@?o???GG??CGO?C????C???C?A??AG???@?,true,true,false,false
28,2,516,1378,slike_min/graf_min_mu2_n28.png,slike_max/graf_max_mu2_n28.png,[??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[_?A???@?O?S@Q???C?_@G???@?o???GG??CGO?C????C???C?A??AG???@?A???,true,true,false,false
29,2,549,1477,slike_min/graf_min_mu2_n29.png,slike_max/graf_max_mu2_n29.png,\??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\_CA???????O@??????C?????`?O?O??G?D?GO?D?_??C@?@CG????C?@OG?a??????G?,true,true,false,false
30,2,583,1580,slike_min/graf_min_mu2_n30.png,slike_max/graf_max_mu2_n30.png,]??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]_CA???????O@??????C?????`?O?O??G?D?GO?D?_??C@?@CG????C?@OG?a??????G?A????,true,true,false,false
10,3,118,280,slike_min/graf_min_mu3_n10.png,slike_max/graf_max_mu3_n10.png,I?AA@B~C?,IAa`AUOK?,true,true,false,false
11,3,135,344,slike_min/graf_min_mu3_n11.png,slike_max/graf_max_mu3_n11.png,J?AA@B~C?O?,J@S?DFCC?K_,true,true,false,false
12,3,153,416,slike_min/graf_min_mu3_n12.png,slike_max/graf_max_mu3_n12.png,K?AA@B~C?O?A,KC[???AP`BOg,true,true,false,false
13,3,172,494,slike_min/graf_min_mu3_n13.png,slike_max/graf_max_mu3_n13.png,L?AA@B~C?O?A?A,L?gSB?CS?DOA?W,true,true,false,false
14,3,192,580,slike_min/graf_min_mu3_n14.png,slike_max/graf_max_mu3_n14.png,M?AA@B~C?O?A?A?@?,MR?I?OG_?CC_OO?M?,true,true,false,false
15,3,213,672,slike_min/graf_min_mu3_n15.png,slike_max/graf_max_mu3_n15.png,N?AA@B~C?O?A?A?@??O,N_G?G?CDAoOC?PGO?OG,true,true,false,false
16,3,235,772,slike_min/graf_min_mu3_n16.png,slike_max/graf_max_mu3_n16.png,O?AA@B~C?O?A?A?@??O?A,OO?OCCGPG?GGC??A_OPOO,true,true,false,false
17,3,258,875,slike_min/graf_min_mu3_n17.png,slike_max/graf_max_mu3_n17.png,P?AA@B~C?O?A?A?@??O?A??G,P?_Q?_IGC???W??T??OGP?H?,true,true,false,false
18,3,282,988,slike_min/graf_min_mu3_n18.png,slike_max/graf_max_mu3_n18.png,Q?AA@B~C?O?A?A?@??O?A??G??O,QI_??p?G_?@??A?`?B?GC_?CC_?,true,true,false,false
19,3,307,1106,slike_min/graf_min_mu3_n19.png,slike_max/graf_max_mu3_n19.png,R?AA@B~C?O?A?A?@??O?A??G??O??O,R@_??_?g?@?@W??P??_G@@_@??OT??,true,true,false,false
20,3,333,1236,slike_min/graf_min_mu3_n20.png,slike_max/graf_max_mu3_n20.png,S?AA@B~C?O?A?A?@??O?A??G??O??O??G,SGA?A_?@?DACi??A??G_??C???WS???`?,true,true,false,false
21,3,360,1368,slike_min/graf_min_mu3_n21.png,slike_max/graf_max_mu3_n21.png,T?AA@B~C?O?A?A?@??O?A??G??O??O??G??A,TGA??CO@???Di??C?P??O??O@O?O?__?PO??,true,true,false,false
22,3,388,1507,slike_min/graf_min_mu3_n22.png,slike_max/graf_max_mu3_n22.png,U?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O,U?A??D?@???KG??E?OA_?A?G_O??CcO???K?E???,true,true,false,false
23,3,417,1654,slike_min/graf_min_mu3_n23.png,slike_max/graf_max_mu3_n23.png,V?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@?,VA?GO?C?C?GIg??_????@?OC_O??C?c????a?AO?@@??,true,true,false,false
24,3,447,1787,slike_min/graf_min_mu3_n24.png,slike_max/graf_max_mu3_n24.png,W?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A,WQ???A??C?GC?C?S?_??PAOCS???K?C?GC???A??????OG@,true,true,false,false
25,3,478,1970,slike_min/graf_min_mu3_n25.png,slike_max/graf_max_mu3_n25.png,X?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A,Xp???A??A????C?S@_??OAOCO??CK????C?@???O??I?O?A?H??,true,true,false,false
26,3,510,2129,slike_min/graf_min_mu3_n26.png,slike_max/graf_max_mu3_n26.png,Y?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@?,Y@??G???@???C??S@_CAGAO??AA?G?__?A????O???H?S??OG???A?_?,true,true,false,false
27,3,543,2290,slike_min/graf_min_mu3_n27.png,slike_max/graf_max_mu3_n27.png,Z?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@????O,Z@?_????W??_???G@_C??AC??AA????S??G????S??GGO_???E??I?_A??A?,true,true,false,false
28,3,577,2473,slike_min/graf_min_mu3_n28.png,slike_max/graf_max_mu3_n28.png,[?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@????O???A,[???@??GI????@??P_?K?A?A?@???O?S???G?????A??G?@??C??I?_A??B?_G?C,true,true,false,false
29,3,612,2673,slike_min/graf_min_mu3_n29.png,slike_max/graf_max_mu3_n29.png,\?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@????O???A????G,\???@??GG?G??@?_P_?G?A?A?@???O?S@????????A??G?@??CG???_???BA_??_?I??O,true,true,false,false
30,3,648,2861,slike_min/graf_min_mu3_n30.png,slike_max/graf_max_mu3_n30.png,]?AA@B~C?O?A?A?@??O?A??G??O??O??G??A???O??@???A???A???@????O???A????G????O,]A??????G?A??P?_O_?G_A?AG??C??@C?_@?G????A???????A?__???@?@__??_?I??@???A?,true,true,false,false
10,4,147,475,slike_min/graf_min_mu4_n10.png,slike_max/graf_max_mu4_n10.png,IO?NyCAC_,IM_S?WbI?,true,true,false,false
11,4,166,592,slike_min/graf_min_mu4_n11.png,slike_max/graf_max_mu4_n11.png,JO?NyCAC_@?,JQpc?_`?oG_,true,true,false,false
12,4,186,723,slike_min/graf_min_mu4_n12.png,slike_max/graf_max_mu4_n12.png,KO?NyCAC_@?@,K?JC``GAa_C_,true,true,false,false
13,4,207,866,slike_min/graf_min_mu4_n13.png,slike_max/graf_max_mu4_n13.png,LO?NyCAC_@?@?@,L@_G_a@XA@@OO@,true,true,false,false
14,4,229,1023,slike_min/graf_min_mu4_n14.png,slike_max/graf_max_mu4_n14.png,MO?NyCAC_@?@?@??_,MOJ?oCC???cA?[SA?,true,true,false,false
15,4,252,1190,slike_min/graf_min_mu4_n15.png,slike_max/graf_max_mu4_n15.png,NO?NyCAC_@?@?@??_?G,NS_aOCC??_g_?[?A??g,true,true,false,false
16,4,276,1371,slike_min/graf_min_mu4_n16.png,slike_max/graf_max_mu4_n16.png,OO?NyCAC_@?@?@??_?G?@,Og??QCC??CE_B??EA?K@_,true,true,false,false
17,4,301,1563,slike_min/graf_min_mu4_n17.png,slike_max/graf_max_mu4_n17.png,PO?NyCAC_@?@?@??_?G?@??C,P??GO@OCPC?_?O?QA?cGCw??,true,true,false,false
18,4,327,1775,slike_min/graf_min_mu4_n18.png,slike_max/graf_max_mu4_n18.png,QO?NyCAC_@?@?@??_?G?@??C??G,Q?CCG@?G@O?A@OAOGG?G_O@AO_?,true,true,false,false
19,4,354,1996,slike_min/graf_min_mu4_n19.png,slike_max/graf_max_mu4_n19.png,RO?NyCAC_@?@?@??_?G?@??C??G??G,R?CC?H?G`??@?WB?G??A_OAAO?_?I?,true,true,false,false
20,4,382,2218,slike_min/graf_min_mu4_n20.png,slike_max/graf_max_mu4_n20.png,SO?NyCAC_@?@?@??_?G?@??C??G??G??C,S?CC?G?gGC???A@GHG?ACG@AO?A?G??W?,true,true,false,false
21,4,411,2478,slike_min/graf_min_mu4_n21.png,slike_max/graf_max_mu4_n21.png,TO?NyCAC_@?@?@??_?G?@??C??G??G??C??@,T?CO?G?gGC?@?@?W@??ACW??O?A?GA??IA?_,true,true,false,false
22,4,441,2724,slike_min/graf_min_mu4_n22.png,slike_max/graf_max_mu4_n22.png,UO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G,UOCGG_?GG??@?@?W???@CG??O?_??Q?CAAG?O?@_,true,true,false,false
23,4,472,3002,slike_min/graf_min_mu4_n23.png,slike_max/graf_max_mu4_n23.png,VO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_,VOC?G_?GC?@@?A?OGA?@C?G?@?_G??G?OI??O??_@A??,true,true,false,false
24,4,504,3281,slike_min/graf_min_mu4_n24.png,slike_max/graf_max_mu4_n24.png,WO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@,W?????AGC?@@G??SGA?W???A?A?G??K?O?AGO??_b??A@??,true,true,false,false
25,4,537,3585,slike_min/graf_min_mu4_n25.png,slike_max/graf_max_mu4_n25.png,XO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@,X?????AGC?@@G?COGAAW???A?A?A@?C?O?AGO???`??A@??@??O,true,true,false,false
26,4,571,3900,slike_min/graf_min_mu4_n26.png,slike_max/graf_max_mu4_n26.png,YO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_,Y?????AGC?@@G?CO??AG???A?A?A_?C@O?AGOC??`??A@??@?G?B????,true,true,false,false
27,4,606,4225,slike_min/graf_min_mu4_n27.png,slike_max/graf_max_mu4_n27.png,ZO?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G,Z?????ACC?@@G?CO?OAG???A????_?C?O?AKO???B??A@??@?G?B???C??Q?,true,true,false,false
28,4,642,4541,slike_min/graf_min_mu4_n28.png,slike_max/graf_max_mu4_n28.png,[O?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@,[@????ACC?@@??????AG???A?@?????@O?BG??_@B??OG??O_G?A?C??_?Q?_?C?,true,true,false,false
29,4,679,4917,slike_min/graf_min_mu4_n29.png,slike_max/graf_max_mu4_n29.png,\O?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C,\?_?@?A????@?C????A??????H?????@O?BG?C?``??OG_?O?G?B?C??_?O?_?C??_G??,true,true,false,false
30,4,717,5285,slike_min/graf_min_mu4_n30.png,slike_max/graf_max_mu4_n30.png,]O?NyCAC_@?@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G,]@_???A???O@?C????A??????H?????@O?BG?C?`B???G??O?G?B?C??_?O?_?C??_G???C?C?,true,true,false,false
10,5,203,798,slike_min/graf_min_mu5_n10.png,slike_max/graf_max_mu5_n10.png,I_?@Ob~@G,IY_aCCTB_,false,false,false,false
11,5,226,1005,slike_min/graf_min_mu5_n11.png,slike_max/graf_max_mu5_n11.png,JG?G?F~CGD?,JOKeC?DCiQ?,false,false,false,false
12,5,223,1240,slike_min/graf_min_mu5_n12.png,slike_max/graf_max_mu5_n12.png,KG?GCB~?GDAC,KF@C?CEIHAHG,true,true,false,false
13,5,246,1493,slike_min/graf_min_mu5_n13.png,slike_max/graf_max_mu5_n13.png,LG?GCB~?GDAC?C,LRAC?O?IGEH_OI,true,true,false,false
14,5,270,1772,slike_min/graf_min_mu5_n14.png,slike_max/graf_max_mu5_n14.png,MG?GCB~?GDAC?C??_,M_OT?O_S?MD?CG?O_,true,true,false,false
15,5,295,2076,slike_min/graf_min_mu5_n15.png,slike_max/graf_max_mu5_n15.png,NG?GCB~?GDAC?C??_?G,N_?T?OGS?COC@@@QF??,true,true,false,false
16,5,321,2404,slike_min/graf_min_mu5_n16.png,slike_max/graf_max_mu5_n16.png,OG?GCB~?GDAC?C??_?G?@,Oo?C?OCCOEG_@AOCDC?`?,true,true,false,false
17,5,348,2757,slike_min/graf_min_mu5_n17.png,slike_max/graf_max_mu5_n17.png,PG?GCB~?GDAC?C??_?G?@??C,P_?S?O?COKA?GHOCDO?B?_G?,true,true,false,false
18,5,376,3131,slike_min/graf_min_mu5_n18.png,slike_max/graf_max_mu5_n18.png,QG?GCB~?GDAC?C??_?G?@??C??G,Q?OS???CO[A?G@OOS?CB?A???aG,true,true,false,false
19,5,405,3529,slike_min/graf_min_mu5_n19.png,slike_max/graf_max_mu5_n19.png,RG?GCB~?GDAC?C??_?G?@??C??G??G,RG@K??CC?Aa?C?G_??cA?A_G?aQ?_?,true,true,false,false
20,5,435,3956,slike_min/graf_min_mu5_n20.png,slike_max/graf_max_mu5_n20.png,SG?GCB~?GDAC?C??_?G?@??C??G??G??C,S??c?H?C?Qa?????C?o?AA_C?AQ?aD@??,true,true,false,false
21,5,466,4389,slike_min/graf_min_mu5_n21.png,slike_max/graf_max_mu5_n21.png,TG?GCB~?GDAC?C??_?G?@??C??G??G??C??@,TA?cOZ?A??__??C@C?O??_?C?IO?A`@????G,true,true,false,false
22,5,498,4887,slike_min/graf_min_mu5_n22.png,slike_max/graf_max_mu5_n22.png,UG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G,UA??GY?A?__????@C?O??o@?OAPOA?@@?A?O__??,true,true,false,false
23,5,531,5374,slike_min/graf_min_mu5_n23.png,slike_max/graf_max_mu5_n23.png,VG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_,VA??GGOA?A_???G?C?O?cQ@??a@?G?g?A???a??CCA??,true,true,false,false
24,5,565,5873,slike_min/graf_min_mu5_n24.png,slike_max/graf_max_mu5_n24.png,WG?GCB~?GDAC?C??_?G?@??C??G??G??C??@???G???_??@,WA??GGOA?A????G???O?cQ@??a@?H?g?A??OAA?CCA????C,true,true,false,false
