n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
28,2,516,1381,slike_min/graf_min_mu2_n28.png,slike_max/graf_max_mu2_n28.png,[???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_??,[?C?C@?__@G???????G???__G??a??C???I???_@?A_?_A??@????@?_AC?AG???
29,2,549,1479,slike_min/graf_min_mu2_n29.png,slike_max/graf_max_mu2_n29.png,\???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C???,\?C?C@?__@G???????G???__G??a??C???I???_@?A_?_A??@????@?_AC?AG???G????
30,2,583,1582,slike_min/graf_min_mu2_n30.png,slike_max/graf_max_mu2_n30.png,]???C@?~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O???,]?C?C@?__@G???????G???__G??a??C???I???_@?A_?_A??@????@?_AC?AG???G??????@??
11,3,135,344,slike_min/graf_min_mu3_n11.png,slike_max/graf_max_mu3_n11.png,J??CA?_~w?_,JWA?WCP_Io?
12,3,153,416,slike_min/graf_min_mu3_n12.png,slike_max/graf_max_mu3_n12.png,K??CA?_~w?_A,K?ca?J@K_G@@
13,3,172,494,slike_min/graf_min_mu3_n13.png,slike_max/graf_max_mu3_n13.png,L??CA?_~w?_A?C,LOAC_P?R??ADGQ
14,3,192,580,slike_min/graf_min_mu3_n14.png,slike_max/graf_max_mu3_n14.png,M??CA?_~w?_A?C?C?,MPG?m??@GP?@P?O@?
15,3,213,672,slike_min/graf_min_mu3_n15.png,slike_max/graf_max_mu3_n15.png,N??CA?_~w?_A?C?C?A?,NC?dAOCA?GI?OAAGOA?
16,3,235,772,slike_min/graf_min_mu3_n16.png,slike_max/graf_max_mu3_n16.png,O??CA?_~w?_A?C?C?A??_,O?AA@AH?A?EA@AA_AO??c
17,3,258,874,slike_min/graf_min_mu3_n17.png,slike_max/graf_max_mu3_n17.png,P??CA?_~w?_A?C?C?A??_?C?,PC?aC?`?aW??G???a?_?ia??
18,3,282,990,slike_min/graf_min_mu3_n18.png,slike_max/graf_max_mu3_n18.png,Q??CA?_~w?_A?C?C?A??_?C??O?,Q@?C??A?OO_WO?GCA?S?@R??C_?
19,3,307,1109,slike_min/graf_min_mu3_n19.png,slike_max/graf_max_mu3_n19.png,R??CA?_~w?_A?C?C?A??_?C??O??_?,RR????A?OW?O_?@?gC@?_@??HC??@O
20,3,333,1233,slike_min/graf_min_mu3_n20.png,slike_max/graf_max_mu3_n20.png,S??CA?_~w?_A?C?C?A??_?C??O??_??_?,S??P@??O?HG?_?AGA??S??Aa?C???gA`?
21,3,360,1366,slike_min/graf_min_mu3_n21.png,slike_max/graf_max_mu3_n21.png,T??CA?_~w?_A?C?C?A??_?C??O??_??_??O?,T?@??A??G?O??OCO?q??QI??_G?c??OK@??C
22,3,388,1500,slike_min/graf_min_mu3_n22.png,slike_max/graf_max_mu3_n22.png,U??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C??,U???A?AC?`O@?C??K??AEg??G?A??GK?G?@?@??G
23,3,417,1652,slike_min/graf_min_mu3_n23.png,slike_max/graf_max_mu3_n23.png,V??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??,V???A?OG?A?O?CA?AA?CAh???g?O???GG?A???CM??C?
24,3,447,1796,slike_min/graf_min_mu3_n24.png,slike_max/graf_max_mu3_n24.png,W??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A??,W???GAPA?AC?O?D?O?AC?A???G@O???_??OC@??O?H?K???
25,3,478,1958,slike_min/graf_min_mu3_n25.png,slike_max/graf_max_mu3_n25.png,X??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C??,X?G??AOG_A?@G??O??OCA`??@?C?????C??C@?_??H?A??CO_?O
26,3,510,2136,slike_min/graf_min_mu3_n26.png,slike_max/graf_max_mu3_n26.png,Y??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???,Y?C???G?_IO?G??OO??C?g??@AA?G?g???O???S??@@A???O??@?K???
27,3,543,2303,slike_min/graf_min_mu3_n27.png,slike_max/graf_max_mu3_n27.png,Z??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A???,Z?C???G?_IO?G??OO??C?g??@AA?G?g???O???S??@@A???O??@?K??G????
28,3,577,2485,slike_min/graf_min_mu3_n28.png,slike_max/graf_max_mu3_n28.png,[??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_??,[GC?_G??_???G??O?@_O?_G?C?A????D??O???Q??G@????C??@?I?????oS??_?
29,3,612,2671,slike_min/graf_min_mu3_n29.png,slike_max/graf_max_mu3_n29.png,\??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C???,\?C?????_???A??W?@_??_G?C?A??_CC??O_??O?I??C??AC???OA?????oS??A??@?@?
30,3,648,2855,slike_min/graf_min_mu3_n30.png,slike_max/graf_max_mu3_n30.png,]??CA?_~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O???,]?C?????_???A??W?@_??_G?C?A??_CC??O_??O?I??C??AC???OA?????oS??A??@?@?_????
11,4,166,592,slike_min/graf_min_mu4_n11.png,slike_max/graf_max_mu4_n11.png,J?AA@?O~w?_,JCO@_^?`B?_
12,4,186,723,slike_min/graf_min_mu4_n12.png,slike_max/graf_max_mu4_n12.png,K?AA@?O~w?_A,KGQGk?oCAAoC
13,4,207,866,slike_min/graf_min_mu4_n13.png,slike_max/graf_max_mu4_n13.png,L?AA@?O~w?_A?C,LQ@G??pIA?@W_a
14,4,229,1023,slike_min/graf_min_mu4_n14.png,slike_max/graf_max_mu4_n14.png,M?AA@?O~w?_A?C?C?,MPCO?QA?QG?WoC?a?
15,4,252,1190,slike_min/graf_min_mu4_n15.png,slike_max/graf_max_mu4_n15.png,N?AA@?O~w?_A?C?C?A?,NS_?@CAP?WGGS??G_D?
16,4,276,1374,slike_min/graf_min_mu4_n16.png,slike_max/graf_max_mu4_n16.png,O?AA@?O~w?_A?C?C?A??_,OAA?__Co??_GGgIA?__OG
17,4,301,1568,slike_min/graf_min_mu4_n17.png,slike_max/graf_max_mu4_n17.png,P?AA@?O~w?_A?C?C?A??_?C?,PAAA?_?P?W?GGgI???_OG_GG
18,4,327,1775,slike_min/graf_min_mu4_n18.png,slike_max/graf_max_mu4_n18.png,Q?AA@?O~w?_A?C?C?A??_?C??O?,Q@?_???p?D@G?GA?GW@O?_?oOG?
19,4,354,1993,slike_min/graf_min_mu4_n19.png,slike_max/graf_max_mu4_n19.png,R?AA@?O~w?_A?C?C?A??_?C??O??_?,R?C?[???G@OAGA??GGJ_?@?OGO??OO
20,4,382,2226,slike_min/graf_min_mu4_n20.png,slike_max/graf_max_mu4_n20.png,S?AA@?O~w?_A?C?C?A??_?C??O??_??_?,S@C?]???G?OAGA??G?B??@?WGO??Q?@?C
21,4,411,2471,slike_min/graf_min_mu4_n21.png,slike_max/graf_max_mu4_n21.png,T?AA@?O~w?_A?C?C?A??_?C??O??_??_??O?,T@C?M?C?C?AOGO?CG??O_@????o@A??OD??G
22,4,441,2734,slike_min/graf_min_mu4_n22.png,slike_max/graf_max_mu4_n22.png,U?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C??,U?CGC?c???AO?AGC@??C_O?_??g@??AOD?O?__??
23,4,472,2996,slike_min/graf_min_mu4_n23.png,slike_max/graf_max_mu4_n23.png,V?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??,V????_C??GA??QG?@?C?_OO?Q?`@@??O@?P?__?C??A?
24,4,504,3278,slike_min/graf_min_mu4_n24.png,slike_max/graf_max_mu4_n24.png,W?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A??,W????_CO??B?CAG?@?C?_OO??_`@???O@?@?@A?C??A?OE?
25,4,537,3584,slike_min/graf_min_mu4_n25.png,slike_max/graf_max_mu4_n25.png,X?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C??,X????_C???B?_AGO@???_OO???`@????D?O?@ACC?G??O?g?_?G
26,4,571,3895,slike_min/graf_min_mu4_n26.png,slike_max/graf_max_mu4_n26.png,Y?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???,Y????_C?_?B?_AGO@@??_OO???`@????D?O???@C??_???g?_?@`????
27,4,606,4226,slike_min/graf_min_mu4_n27.png,slike_max/graf_max_mu4_n27.png,Z?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A???,Z??_?_C?_?B?aAGO?@???OO???_@????D?O???CC??_???g?_?@@??C?AA??
28,4,642,4561,slike_min/graf_min_mu4_n28.png,slike_max/graf_max_mu4_n28.png,[?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_??,[????_C??OB?a?HO?@???OO???_@????DAO????C??_???g?_?@???E?AA??G??_
29,4,679,4909,slike_min/graf_min_mu4_n29.png,slike_max/graf_max_mu4_n29.png,\?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C???,\?G??_CO?OE?a?@O?@????S???_@????DA?????C??_???g?_?@???EG?A????C_?C???
30,4,717,5276,slike_min/graf_min_mu4_n30.png,slike_max/graf_max_mu4_n30.png,]?AA@?O~w?_A?C?C?A??_?C??O??_??_??O??C???_??A???C???C???A????_???C????O???,]?G???C??OE?a?@O?@???CS???_@????DA?????C??_???g?_?@???EG?A????C_?C??????_G
