n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
13,1,91,122,slike_geodesic_min/graf_geodesic_min_mu1_n13.png,slike_geodesic_max/graf_geodesic_max_mu1_n13.png,L???CB~O@?A?A?,L@cH@?C@ACD?G?,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
14,1,105,142,slike_geodesic_min/graf_geodesic_min_mu1_n14.png,slike_geodesic_max/graf_geodesic_max_mu1_n14.png,M???CB~O@?A?A?@??,M?A@Q?gCG?OP_?S??,true,true,false,8,1,0,0,0,true,true,true,3,0,1,0,0
15,1,120,163,slike_geodesic_min/graf_geodesic_min_mu1_n15.png,slike_geodesic_max/graf_geodesic_max_mu1_n15.png,N???CB~O@?A?A?@??O?,N?A@Q?gCG?OP_?S?O??,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
16,1,136,186,slike_geodesic_min/graf_geodesic_min_mu1_n16.png,slike_geodesic_max/graf_geodesic_max_mu1_n16.png,O???CB~O@?A?A?@??O??_,OO?G@DWG?@?CA?G??CE?O,true,true,false,8,1,0,0,0,true,true,true,6,0,1,0,0
17,1,153,210,slike_geodesic_min/graf_geodesic_min_mu1_n17.png,slike_geodesic_max/graf_geodesic_max_mu1_n17.png,P???CB~O@?A?A?@??O??_?A?,PO?G@DWG?@?CA?G??CE?O?G?,true,true,false,8,1,0,0,0,true,true,true,7,0,1,0,0
18,1,171,236,slike_geodesic_min/graf_geodesic_min_mu1_n18.png,slike_geodesic_max/graf_geodesic_max_mu1_n18.png,Q???CB~O@?A?A?@??O??_?A??C?,Q_C?@@?G@C?_?@H?PAA??A??_?_,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
19,1,190,263,slike_geodesic_min/graf_geodesic_min_mu1_n19.png,slike_geodesic_max/graf_geodesic_max_mu1_n19.png,R???CB~O@?A?A?@??O??_?A??C??C?,R_C?@@?G@C?_?@H?PAA??A??_?`???,true,true,false,8,1,0,0,0,true,true,true,6,0,1,0,0
20,1,210,292,slike_geodesic_min/graf_geodesic_min_mu1_n20.png,slike_geodesic_max/graf_geodesic_max_mu1_n20.png,S???CB~O@?A?A?@??O??_?A??C??C??A?,S_?G??AG?@?G???_`E?C?C??_?`_GA?G?,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
21,1,231,322,slike_geodesic_min/graf_geodesic_min_mu1_n21.png,slike_geodesic_max/graf_geodesic_max_mu1_n21.png,T???CB~O@?A?A?@??O??_?A??C??C??A???_,T_?G??AG?@?G???_`E?C?C??_?`_GA?G???_,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
22,1,253,354,slike_geodesic_min/graf_geodesic_min_mu1_n22.png,slike_geodesic_max/graf_geodesic_max_mu1_n22.png,U???CB~O@?A?A?@??O??_?A??C??C??A???_??C?,Uc?GO_AG?@?????_`A?C????_?`_GQ?????@??G?,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
23,1,276,387,slike_geodesic_min/graf_geodesic_min_mu1_n23.png,slike_geodesic_max/graf_geodesic_max_mu1_n23.png,V???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O?,Vc?GO_AG?@?????_`A?C????_?`_GQ?????@??G?C???,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
24,1,300,422,slike_geodesic_min/graf_geodesic_min_mu1_n24.png,slike_geodesic_max/graf_geodesic_max_mu1_n24.png,W???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_,W`???_AG?A???O?_@A?GC???_?`?GQ?@???@?_G???O?O??,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
25,1,325,458,slike_geodesic_min/graf_geodesic_min_mu1_n25.png,slike_geodesic_max/graf_geodesic_max_mu1_n25.png,X???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_,X`???_AG?A???O?_@A?GC???_?`?GQ?@???@?_G???O?O????G?,true,true,false,8,1,0,0,0,true,true,true,6,0,1,0,0
26,1,351,496,slike_geodesic_min/graf_geodesic_min_mu1_n26.png,slike_geodesic_max/graf_geodesic_max_mu1_n26.png,Y???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O?,Y????_AG?A?????G?A@??C??_?_G@A?@????O@?C???EOO?A??i??O??,true,true,false,8,1,0,0,0,true,true,true,4,0,1,0,0
27,1,378,535,slike_geodesic_min/graf_geodesic_min_mu1_n27.png,slike_geodesic_max/graf_geodesic_max_mu1_n27.png,Z???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C?,Z????_AG?A?????G?A@??C??_?_G@A?@????O@?C???EOO?A??i??O?C????,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
28,1,406,576,slike_geodesic_min/graf_geodesic_min_mu1_n28.png,slike_geodesic_max/graf_geodesic_max_mu1_n28.png,[???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_,[?G??_?G?AO???_??A@??C??_?_G@A?@????O@?C???EOO????I??O?CC??@????,true,true,false,8,1,0,0,0,true,true,true,7,0,1,0,0
29,1,435,618,slike_geodesic_min/graf_geodesic_min_mu1_n29.png,slike_geodesic_max/graf_geodesic_max_mu1_n29.png,\???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A?,\?G??_?G?AO???_??A@??C??_?_G@A?@????O@?C???EOO????I??O?CC??@????G????,true,true,false,8,1,0,0,0,true,true,true,8,0,1,0,0
30,1,465,662,slike_geodesic_min/graf_geodesic_min_mu1_n30.png,slike_geodesic_max/graf_geodesic_max_mu1_n30.png,]???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C?,]?C?C?_G???G????Ga??A??O_?_?@???O@I??@??????????gC@OA??@???_???A??CA?C????,true,true,false,8,1,0,0,0,true,true,true,5,0,1,0,0
10,2,55,85,slike_geodesic_min/graf_geodesic_min_mu2_n10.png,slike_geodesic_max/graf_geodesic_max_mu2_n10.png,I??CAB~G?,I??F?zW?G,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
11,2,66,113,slike_geodesic_min/graf_geodesic_min_mu2_n11.png,slike_geodesic_max/graf_geodesic_max_mu2_n11.png,J??CAB~G?_?,J??At?D{?C?,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
12,2,78,137,slike_geodesic_min/graf_geodesic_min_mu2_n12.png,slike_geodesic_max/graf_geodesic_max_mu2_n12.png,K??CAB~G?_@?,K??At?D{?C?O,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
13,2,91,165,slike_geodesic_min/graf_geodesic_min_mu2_n13.png,slike_geodesic_max/graf_geodesic_max_mu2_n13.png,L??CAB~G?_@?@?,LGOAGgOcA?A_P?,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
14,2,105,194,slike_geodesic_min/graf_geodesic_min_mu2_n14.png,slike_geodesic_max/graf_geodesic_max_mu2_n14.png,M??CAB~G?_@?@??C?,MGOAGgOcA?A_P?O??,true,true,false,8,2,0,0,0,true,true,true,6,0,2,0,0
15,2,120,227,slike_geodesic_min/graf_geodesic_min_mu2_n15.png,slike_geodesic_max/graf_geodesic_max_mu2_n15.png,N??CAB~G?_@?@??C?@?,NO_A?CAQ@?O_?cC_OA?,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
16,2,136,261,slike_geodesic_min/graf_geodesic_min_mu2_n16.png,slike_geodesic_max/graf_geodesic_max_mu2_n16.png,O??CAB~G?_@?@??C?@??G,OO_A?CAQ@?O_?cC_OA?C?,true,true,false,8,2,0,0,0,true,true,true,6,0,2,0,0
17,2,153,299,slike_geodesic_min/graf_geodesic_min_mu2_n17.png,slike_geodesic_max/graf_geodesic_max_mu2_n17.png,P??CAB~G?_@?@??C?@??G??_,P_ASC??QO?CC?CA?_?GCO?@O,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
18,2,171,338,slike_geodesic_min/graf_geodesic_min_mu2_n18.png,slike_geodesic_max/graf_geodesic_max_mu2_n18.png,Q??CAB~G?_@?@??C?@??G??_?@?,Q_ASC??QO?CC?CA?_?GCO?@Q???,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
19,2,190,381,slike_geodesic_min/graf_geodesic_min_mu2_n19.png,slike_geodesic_max/graf_geodesic_max_mu2_n19.png,R??CAB~G?_@?@??C?@??G??_?@??@?,R_?OC??QO?C??CA?a?GCW?GQA??G??,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
20,2,210,425,slike_geodesic_min/graf_geodesic_min_mu2_n20.png,slike_geodesic_max/graf_geodesic_max_mu2_n20.png,S??CAB~G?_@?@??C?@??G??_?@??@???_,S???CA?AP????CAAc??GGc?C?@AC@C?_?,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
21,2,231,473,slike_geodesic_min/graf_geodesic_min_mu2_n21.png,slike_geodesic_max/graf_geodesic_max_mu2_n21.png,T??CAB~G?_@?@??C?@??G??_?@??@???_??G,T???CA?AP????CAAc??GGc?C?@AC@C?_A???,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
22,2,253,522,slike_geodesic_min/graf_geodesic_min_mu2_n22.png,slike_geodesic_max/graf_geodesic_max_mu2_n22.png,U??CAB~G?_@?@??C?@??G??_?@??@???_??G??@?,U???CA?AP????CAAc??GGc?C?@AC@C?_A???_???,true,true,false,8,2,0,0,0,true,true,true,6,0,2,0,0
23,2,276,575,slike_geodesic_min/graf_geodesic_min_mu2_n23.png,slike_geodesic_max/graf_geodesic_max_mu2_n23.png,V??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C?,Va???Q??G?_??CIAa??GHC???@???C?_?A??G_?_?@??,true,true,false,8,2,0,0,0,true,true,true,5,0,2,0,0
