n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
22,3,253,776,slike_geodesic_min/graf_geodesic_min_mu3_n22.png,slike_geodesic_max/graf_geodesic_max_mu3_n22.png,U??CCF~O@?A?A?@??A??O?@??A??A??@???O??A?,U?G_AD?_??@og??P????O_?A_??_?A_@A???_?C?
23,3,276,860,slike_geodesic_min/graf_geodesic_min_mu3_n23.png,slike_geodesic_max/graf_geodesic_max_mu3_n23.png,V??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G?,V?G_AD?_??@og??P????O_?A_??_?A_@A???_?CC????
24,3,300,952,slike_geodesic_min/graf_geodesic_min_mu3_n24.png,slike_geodesic_max/graf_geodesic_max_mu3_n24.png,W??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O,W?G_AD?_??@og??P????O_?A_??_?A_@A???_?C??@?O???
25,3,325,1045,slike_geodesic_min/graf_geodesic_min_mu3_n25.png,slike_geodesic_max/graf_geodesic_max_mu3_n25.png,X??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O,X?G_AD?_??@og??P????O_?A_??_?A_@A???_?C??@?O???_???
26,3,351,1146,slike_geodesic_min/graf_geodesic_min_mu3_n26.png,slike_geodesic_max/graf_geodesic_max_mu3_n26.png,Y??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G?,Y?G_AD?_??@og??P????O_?A_??_?A_@???@_?C??@?O???_???_????
27,3,378,1248,slike_geodesic_min/graf_geodesic_min_mu3_n27.png,slike_geodesic_max/graf_geodesic_max_mu3_n27.png,Z??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A?,Z?G_AD?_??@og??P????O_?A_??_?A_@???@_?C??@?O???_???_???O????
28,3,406,1358,slike_geodesic_min/graf_geodesic_min_mu3_n28.png,slike_geodesic_max/graf_geodesic_max_mu3_n28.png,[??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O,[?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_???O???C????
29,3,435,1469,slike_geodesic_min/graf_geodesic_min_mu3_n29.png,slike_geodesic_max/graf_geodesic_max_mu3_n29.png,\??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@?,\?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_???O???C????_????
30,3,465,1588,slike_geodesic_min/graf_geodesic_min_mu3_n30.png,slike_geodesic_max/graf_geodesic_max_mu3_n30.png,]??CCF~O@?A?A?@??A??O?@??A??A??@???O??A???G???O???O???G???A????O???@????A?,]?G_AD?_??@og??P????P_?A???_@A_????@_?????GS???_???_?????A?C????_???A?????
10,4,55,111,slike_geodesic_min/graf_geodesic_min_mu4_n10.png,slike_geodesic_max/graf_geodesic_max_mu4_n10.png,I?AACJ~G?,Il@?WacB?
11,4,66,145,slike_geodesic_min/graf_geodesic_min_mu4_n11.png,slike_geodesic_max/graf_geodesic_max_mu4_n11.png,J?AACJ~G?_?,JC`_S?X[OG?
