n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
19,1,190,263,slike_geodesic_min/graf_geodesic_min_mu1_n19.png,slike_geodesic_max/graf_geodesic_max_mu1_n19.png,R???CB~O@?A?A?@??O??_?A??C??C?,R_C?@@?G@C?_?@H?PAA??A??_?`???
20,1,210,292,slike_geodesic_min/graf_geodesic_min_mu1_n20.png,slike_geodesic_max/graf_geodesic_max_mu1_n20.png,S???CB~O@?A?A?@??O??_?A??C??C??A?,S_?G??AG?@?G???_`E?C?C??_?`_GA?G?
21,1,231,322,slike_geodesic_min/graf_geodesic_min_mu1_n21.png,slike_geodesic_max/graf_geodesic_max_mu1_n21.png,T???CB~O@?A?A?@??O??_?A??C??C??A???_,T_?G??AG?@?G???_`E?C?C??_?`_GA?G???_
22,1,253,354,slike_geodesic_min/graf_geodesic_min_mu1_n22.png,slike_geodesic_max/graf_geodesic_max_mu1_n22.png,U???CB~O@?A?A?@??O??_?A??C??C??A???_??C?,Uc?GO_AG?@?????_`A?C????_?`_GQ?????@??G?
23,1,276,387,slike_geodesic_min/graf_geodesic_min_mu1_n23.png,slike_geodesic_max/graf_geodesic_max_mu1_n23.png,V???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O?,Vc?GO_AG?@?????_`A?C????_?`_GQ?????@??G?C???
24,1,300,422,slike_geodesic_min/graf_geodesic_min_mu1_n24.png,slike_geodesic_max/graf_geodesic_max_mu1_n24.png,W???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_,W`???_AG?A???O?_@A?GC???_?`?GQ?@???@?_G???O?O??
25,1,325,458,slike_geodesic_min/graf_geodesic_min_mu1_n25.png,slike_geodesic_max/graf_geodesic_max_mu1_n25.png,X???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_,X`???_AG?A???O?_@A?GC???_?`?GQ?@???@?_G???O?O????G?
26,1,351,496,slike_geodesic_min/graf_geodesic_min_mu1_n26.png,slike_geodesic_max/graf_geodesic_max_mu1_n26.png,Y???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O?,Y????_AG?A?????G?A@??C??_?_G@A?@????O@?C???EOO?A??i??O??
27,1,378,535,slike_geodesic_min/graf_geodesic_min_mu1_n27.png,slike_geodesic_max/graf_geodesic_max_mu1_n27.png,Z???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C?,Z????_AG?A?????G?A@??C??_?_G@A?@????O@?C???EOO?A??i??O?C????
28,1,406,576,slike_geodesic_min/graf_geodesic_min_mu1_n28.png,slike_geodesic_max/graf_geodesic_max_mu1_n28.png,[???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_,[?G??_?G?AO???_??A@??C??_?_G@A?@????O@?C???EOO????I??O?CC??@????
29,1,435,618,slike_geodesic_min/graf_geodesic_min_mu1_n29.png,slike_geodesic_max/graf_geodesic_max_mu1_n29.png,\???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A?,\?G??_?G?AO???_??A@??C??_?_G@A?@????O@?C???EOO????I??O?CC??@????G????
30,1,465,662,slike_geodesic_min/graf_geodesic_min_mu1_n30.png,slike_geodesic_max/graf_geodesic_max_mu1_n30.png,]???CB~O@?A?A?@??O??_?A??C??C??A???_??C???O???_???_???O???C????_???A????C?,]?C?C?_G???G????Ga??A??O_?_?@???O@I??@??????????gC@OA??@???_???A??CA?C????
10,2,55,85,slike_geodesic_min/graf_geodesic_min_mu2_n10.png,slike_geodesic_max/graf_geodesic_max_mu2_n10.png,I??CAB~G?,I??F?zW?G
11,2,66,113,slike_geodesic_min/graf_geodesic_min_mu2_n11.png,slike_geodesic_max/graf_geodesic_max_mu2_n11.png,J??CAB~G?_?,J??At?D{?C?
12,2,78,137,slike_geodesic_min/graf_geodesic_min_mu2_n12.png,slike_geodesic_max/graf_geodesic_max_mu2_n12.png,K??CAB~G?_@?,K??At?D{?C?O
13,2,91,165,slike_geodesic_min/graf_geodesic_min_mu2_n13.png,slike_geodesic_max/graf_geodesic_max_mu2_n13.png,L??CAB~G?_@?@?,LGOAGgOcA?A_P?
14,2,105,194,slike_geodesic_min/graf_geodesic_min_mu2_n14.png,slike_geodesic_max/graf_geodesic_max_mu2_n14.png,M??CAB~G?_@?@??C?,MGOAGgOcA?A_P?O??
15,2,120,227,slike_geodesic_min/graf_geodesic_min_mu2_n15.png,slike_geodesic_max/graf_geodesic_max_mu2_n15.png,N??CAB~G?_@?@??C?@?,NO_A?CAQ@?O_?cC_OA?
16,2,136,261,slike_geodesic_min/graf_geodesic_min_mu2_n16.png,slike_geodesic_max/graf_geodesic_max_mu2_n16.png,O??CAB~G?_@?@??C?@??G,OO_A?CAQ@?O_?cC_OA?C?
17,2,153,299,slike_geodesic_min/graf_geodesic_min_mu2_n17.png,slike_geodesic_max/graf_geodesic_max_mu2_n17.png,P??CAB~G?_@?@??C?@??G??_,P_ASC??QO?CC?CA?_?GCO?@O
18,2,171,338,slike_geodesic_min/graf_geodesic_min_mu2_n18.png,slike_geodesic_max/graf_geodesic_max_mu2_n18.png,Q??CAB~G?_@?@??C?@??G??_?@?,Q_ASC??QO?CC?CA?_?GCO?@Q???
19,2,190,381,slike_geodesic_min/graf_geodesic_min_mu2_n19.png,slike_geodesic_max/graf_geodesic_max_mu2_n19.png,R??CAB~G?_@?@??C?@??G??_?@??@?,R_?OC??QO?C??CA?a?GCW?GQA??G??
20,2,210,425,slike_geodesic_min/graf_geodesic_min_mu2_n20.png,slike_geodesic_max/graf_geodesic_max_mu2_n20.png,S??CAB~G?_@?@??C?@??G??_?@??@???_,S???CA?AP????CAAc??GGc?C?@AC@C?_?
21,2,231,473,slike_geodesic_min/graf_geodesic_min_mu2_n21.png,slike_geodesic_max/graf_geodesic_max_mu2_n21.png,T??CAB~G?_@?@??C?@??G??_?@??@???_??G,T???CA?AP????CAAc??GGc?C?@AC@C?_A???
22,2,253,522,slike_geodesic_min/graf_geodesic_min_mu2_n22.png,slike_geodesic_max/graf_geodesic_max_mu2_n22.png,U??CAB~G?_@?@??C?@??G??_?@??@???_??G??@?,U???CA?AP????CAAc??GGc?C?@AC@C?_A???_???
23,2,276,575,slike_geodesic_min/graf_geodesic_min_mu2_n23.png,slike_geodesic_max/graf_geodesic_max_mu2_n23.png,V??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C?,Va???Q??G?_??CIAa??GHC???@???C?_?A??G_?_?@??
24,2,300,629,slike_geodesic_min/graf_geodesic_min_mu2_n24.png,slike_geodesic_max/graf_geodesic_max_mu2_n24.png,W??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G,Wa???Q??G?_??CIAa??GHC???@???C?_?A??G_?_?@???G?
25,2,325,687,slike_geodesic_min/graf_geodesic_min_mu2_n25.png,slike_geodesic_max/graf_geodesic_max_mu2_n25.png,X??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G,X???Ga??G?_??C?Ae?AG?g@??@O??C?_?@?????a??CP?????C?
26,2,351,746,slike_geodesic_min/graf_geodesic_min_mu2_n26.png,slike_geodesic_max/graf_geodesic_max_mu2_n26.png,Y??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C?,Y???Ga??G?_??C?Ae?AG?g@??@O??C?_?@?????a??CP?????C?_????
27,2,378,809,slike_geodesic_min/graf_geodesic_min_mu2_n27.png,slike_geodesic_max/graf_geodesic_max_mu2_n27.png,Z??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@?,ZOG??a??G?__?C?Aa?AG?O??A@OC?C?_?_????????CC?????C?_??CCG???
28,2,406,873,slike_geodesic_min/graf_geodesic_min_mu2_n28.png,slike_geodesic_max/graf_geodesic_max_mu2_n28.png,[??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G,[OG??a??G?__?C?Aa?AG?O??A@OC?C?_?_????????CC?????C?_??CCG??@????
29,2,435,941,slike_geodesic_min/graf_geodesic_min_mu2_n29.png,slike_geodesic_max/graf_geodesic_max_mu2_n29.png,\??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_,\?G??a??G?__?C?Ai????O??A@???c?_???A??@A???C???@?C?????q???@??O???D??
30,2,465,1010,slike_geodesic_min/graf_geodesic_min_mu2_n30.png,slike_geodesic_max/graf_geodesic_max_mu2_n30.png,]??CAB~G?_@?@??C?@??G??_?@??@???_??G??@???C???G???G???C???@????G????_???@?,]?G??a??G?__?C?ae????O??A????c?_???A??@A???C???@?C?????Q???@??OA??D?????O?
10,3,55,98,slike_geodesic_min/graf_geodesic_min_mu3_n10.png,slike_geodesic_max/graf_geodesic_max_mu3_n10.png,I??CCF~O?,IDA_D@UAO
11,3,66,120,slike_geodesic_min/graf_geodesic_min_mu3_n11.png,slike_geodesic_max/graf_geodesic_max_mu3_n11.png,J??CCF~O@??,JDA_D@UAO@?
12,3,78,151,slike_geodesic_min/graf_geodesic_min_mu3_n12.png,slike_geodesic_max/graf_geodesic_max_mu3_n12.png,K??CCF~O@?A?,KBw?g?S_?I?D
13,3,91,186,slike_geodesic_min/graf_geodesic_min_mu3_n13.png,slike_geodesic_max/graf_geodesic_max_mu3_n13.png,L??CCF~O@?A?A?,LKCa?OGG?G_L?D
14,3,105,252,slike_geodesic_min/graf_geodesic_min_mu3_n14.png,slike_geodesic_max/graf_geodesic_max_mu3_n14.png,M??CCF~O@?A?A?@??,M_G_?c@_D?Bog??O?
15,3,120,300,slike_geodesic_min/graf_geodesic_min_mu3_n15.png,slike_geodesic_max/graf_geodesic_max_mu3_n15.png,N??CCF~O@?A?A?@??A?,N_G_?c@_D?Bog??OO??
16,3,136,356,slike_geodesic_min/graf_geodesic_min_mu3_n16.png,slike_geodesic_max/graf_geodesic_max_mu3_n16.png,O??CCF~O@?A?A?@??A??O,O?G_?DP_D?@og??PO?C??
17,3,153,413,slike_geodesic_min/graf_geodesic_min_mu3_n17.png,slike_geodesic_max/graf_geodesic_max_mu3_n17.png,P??CCF~O@?A?A?@??A??O?@?,P?G_?DP_D?@og??PO?C??_??
18,3,171,478,slike_geodesic_min/graf_geodesic_min_mu3_n18.png,slike_geodesic_max/graf_geodesic_max_mu3_n18.png,Q??CCF~O@?A?A?@??A??O?@??A?,Q?G_?DP?L?@og??P?????_?A??o
19,3,190,544,slike_geodesic_min/graf_geodesic_min_mu3_n19.png,slike_geodesic_max/graf_geodesic_max_mu3_n19.png,R??CCF~O@?A?A?@??A??O?@??A??A?,R?G_?DP?L?@og??P?????_?A??s???
20,3,210,618,slike_geodesic_min/graf_geodesic_min_mu3_n20.png,slike_geodesic_max/graf_geodesic_max_mu3_n20.png,S??CCF~O@?A?A?@??A??O?@??A??A??@?,S?G_?DP_D?@og??P?????_?A??S??A?@?
21,3,231,693,slike_geodesic_min/graf_geodesic_min_mu3_n21.png,slike_geodesic_max/graf_geodesic_max_mu3_n21.png,T??CCF~O@?A?A?@??A??O?@??A??A??@???O,T?G_?DP_D?@og??P?????_?A??S??A?@A???
